Task,CC-GPT-4o,CC-GPT-4o (no ctx),CC-GPT-4o-mini,CC-GPT-4o-mini (no ctx),CC-Llama-3.1-405b-instruct,CC-Llama-3.1-405b-instruct (no ctx),LLama3-70B-instruct,LLama3-70B-instruct (no ctx),LLama3-8B,LLama3-8B (no ctx),LLama3-8B-instruct,LLama3-8B-instruct (no ctx),Lag-Llama,Naive_random,Naive_oracle,Statsmodels
ExplicitTrafficForecastTaskwithHolidaysInPredictionWindow, 0.153 ± 0.086, 0.244 ± 0.113, 0.091 ± 0.036, 0.202 ± 0.089, nan ± nan, 0.249 ± 0.110, nan ± nan, 0.174 ± 0.073, 0.122 ± 0.056, 0.124 ± 0.050, 0.136 ± 0.046, 0.228 ± 0.105, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.312 ± 0.172
ExplicitWithDatesAndDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.154 ± 0.079, 0.242 ± 0.111, 0.101 ± 0.039, 0.183 ± 0.073, nan ± nan, nan ± nan, nan ± nan, 0.175 ± 0.072, 0.161 ± 0.074, 0.141 ± 0.063, 0.165 ± 0.065, 0.218 ± 0.097, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.296 ± 0.160
ExplicitWithDaysTrafficForecastTaskwithHolidaysInPredictionWindow, 0.133 ± 0.057, 0.243 ± 0.112, 0.105 ± 0.048, 0.192 ± 0.079, nan ± nan, 0.662 ± nan, nan ± nan, 0.176 ± 0.079, 0.114 ± 0.044, 0.123 ± 0.049, 0.150 ± 0.060, 0.222 ± 0.099, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.262 ± 0.126
FullCausalContextExplicitEquationBivarLinSVAR, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
FullCausalContextImplicitEquationBivarLinSVAR, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
GlobalHorizontalIrradianceFromClearsky, 0.111 ± 0.045, 0.270 ± 0.088, 0.117 ± 0.045, 0.232 ± 0.064, 0.117 ± 0.047, nan ± nan, nan ± nan, nan ± nan, 0.119 ± 0.043, 0.169 ± 0.057, 0.120 ± 0.046, 0.244 ± 0.073, 0.484 ± 0.084, 0.271 ± 0.064, 0.000 ± 0.000, 0.285 ± 0.067
ImplicitPressureFromSpeedTask, 1.063 ± 0.440, 0.705 ± 0.064, nan ± nan, nan ± nan, nan ± nan, 0.633 ± 0.055, 0.318 ± 0.104, 0.555 ± 0.112, 0.581 ± 0.126, 0.594 ± 0.072, 0.530 ± 0.115, 0.660 ± 0.065, nan ± nan, 0.460 ± 0.089, 1507.586 ± 231.747, 0.523 ± 0.083
ImplicitTrafficForecastTaskwithHolidaysInPredictionWindow, 0.181 ± 0.075, 0.243 ± 0.111, 0.183 ± 0.072, 0.196 ± 0.081, nan ± nan, 0.250 ± 0.111, nan ± nan, 0.188 ± 0.080, 0.140 ± 0.064, 0.147 ± 0.065, 0.226 ± 0.109, 0.233 ± 0.117, 0.177 ± 0.044, 0.386 ± 0.136, 0.000 ± 0.000, 0.328 ± 0.180
IncreasedWithdrawalScenario, 0.089 ± 0.023, 0.267 ± 0.074, 0.196 ± 0.040, 0.270 ± 0.075, 0.131 ± 0.024, 0.266 ± 0.072, 0.543 ± 0.333, 0.263 ± 0.073, 0.264 ± 0.072, 0.266 ± 0.071, 0.228 ± 0.076, 0.263 ± 0.071, 0.282 ± 0.072, 0.426 ± 0.100, 0.000 ± 0.000, 0.272 ± 0.071
LocaleInfoHalfDaySolarForecastTask, 0.066 ± 0.020, 0.292 ± 0.153, 0.195 ± 0.113, 0.352 ± 0.142, nan ± nan, 0.304 ± 0.143, 0.129 ± 0.057, 0.266 ± 0.110, 0.211 ± 0.116, 0.264 ± 0.124, 0.297 ± 0.142, 0.306 ± 0.152, 0.450 ± 0.295, 0.125 ± 0.033, 0.000 ± 0.000, 0.471 ± 0.063
LongNewsElectricityIncreaseInPredictionTask, 0.005 ± 0.003, 0.086 ± 0.047, 0.041 ± 0.028, 0.087 ± 0.048, 0.019 ± 0.016, 0.086 ± 0.047, 0.024 ± 0.010, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.084 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
MediumNewsElectricityIncreaseInPredictionTask, 0.005 ± 0.002, 0.086 ± 0.047, 0.029 ± 0.017, 0.087 ± 0.048, 0.018 ± 0.014, 0.086 ± 0.047, 0.021 ± 0.008, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.084 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
MinimalCausalContextBivarLinSVAR, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
MinimalInfoHalfDaySolarForecastTask, 0.066 ± 0.017, 0.295 ± 0.148, 0.241 ± 0.132, 0.336 ± 0.141, nan ± nan, 0.279 ± 0.143, 0.136 ± 0.057, 0.236 ± 0.114, 0.210 ± 0.111, 0.251 ± 0.124, 0.317 ± 0.147, 0.313 ± 0.154, 0.450 ± 0.295, 0.126 ± 0.032, 0.000 ± 0.000, 0.485 ± 0.064
MontrealFireFieldAndGasCausalConfoundingTask, 0.138 ± 0.074, 0.288 ± 0.076, 0.138 ± 0.075, 0.495 ± 0.231, nan ± nan, nan ± nan, 1.041 ± 0.877, 0.174 ± 0.066, 0.099 ± 0.033, 0.121 ± 0.045, 0.117 ± 0.046, 0.211 ± 0.057, 0.136 ± 0.051, 0.143 ± 0.071, 0.000 ± 0.000, 0.537 ± 0.259
MontrealFireFieldAndTrashCausalConfoundingTask, 0.149 ± 0.074, 0.297 ± 0.079, 0.090 ± 0.048, 0.538 ± 0.279, nan ± nan, nan ± nan, 2.294 ± 1.397, 0.213 ± 0.083, 0.087 ± 0.035, 0.127 ± 0.044, 0.120 ± 0.044, 0.217 ± 0.054, 0.136 ± 0.051, 0.141 ± 0.071, 0.000 ± 0.000, 0.633 ± 0.352
MontrealFireFieldFireExplicitShortHistoryTask, 0.112 ± 0.039, 0.404 ± 0.160, 0.108 ± 0.032, 0.439 ± 0.178, nan ± nan, nan ± nan, 0.125 ± 0.050, 0.180 ± 0.075, 0.094 ± 0.037, 0.128 ± 0.046, 0.114 ± 0.039, 0.217 ± 0.054, 0.136 ± 0.051, 0.141 ± 0.071, 0.000 ± 0.000, 0.633 ± 0.352
MontrealFireFieldFireImplicitShortHistoryTask, 0.126 ± 0.048, 0.323 ± 0.085, 0.158 ± 0.051, 0.396 ± 0.127, nan ± nan, nan ± nan, 0.149 ± 0.058, 0.196 ± 0.077, 0.102 ± 0.039, 0.130 ± 0.048, 0.140 ± 0.047, 0.217 ± 0.061, 0.136 ± 0.051, 0.142 ± 0.071, 0.000 ± 0.000, 0.585 ± 0.304
MontrealFireIceRescueExplicitShortHistoryTask, 0.155 ± 0.058, 0.526 ± 0.368, 0.144 ± 0.042, 0.455 ± 0.290, nan ± nan, nan ± nan, 0.116 ± 0.032, 0.228 ± 0.094, 0.134 ± 0.039, 0.207 ± 0.081, 0.157 ± 0.066, 0.566 ± 0.415, 0.230 ± 0.086, 0.270 ± 0.125, 0.000 ± 0.000, 0.831 ± 0.661
MontrealFireIceRescueImplicitShortHistoryTask, 0.152 ± 0.099, 0.580 ± 0.424, 0.166 ± 0.086, 0.529 ± 0.364, nan ± nan, nan ± nan, 0.146 ± 0.083, 0.251 ± 0.118, 0.194 ± 0.072, 0.277 ± 0.142, 0.195 ± 0.075, 0.471 ± 0.314, 0.230 ± 0.086, 0.269 ± 0.125, 0.000 ± 0.000, 0.698 ± 0.532
MontrealFireNauticalRescueAnalogyFullLocalizationTask, 0.162 ± 0.100, 0.224 ± 0.146, 1.542 ± 0.294, 0.224 ± 0.146, nan ± nan, nan ± nan, 0.097 ± 0.052, 0.219 ± 0.145, 0.182 ± 0.122, 0.218 ± 0.145, 0.169 ± 0.114, 0.213 ± 0.144, 0.224 ± 0.146, 0.293 ± 0.100, 0.000 ± 0.000, 0.180 ± 0.180
MontrealFireNauticalRescueAnalogyTargetLocalizationTask, 0.094 ± 0.072, 0.224 ± 0.146, 1.465 ± 0.249, 0.224 ± 0.146, nan ± nan, nan ± nan, 0.095 ± 0.048, 0.207 ± 0.142, 0.184 ± 0.126, 0.225 ± 0.146, 0.314 ± 0.133, 0.213 ± 0.143, 0.224 ± 0.146, 0.296 ± 0.097, 0.000 ± 0.000, 0.180 ± 0.180
MontrealFireNauticalRescueExplicitShortHistoryTask, 0.066 ± 0.009, 0.136 ± 0.015, 0.083 ± 0.020, 0.136 ± 0.015, nan ± nan, nan ± nan, 0.070 ± 0.011, 0.117 ± 0.020, 0.091 ± 0.026, 0.110 ± 0.022, 0.079 ± 0.012, 0.154 ± 0.037, 0.137 ± 0.020, 0.131 ± 0.012, 0.000 ± 0.000, 0.195 ± 0.046
MontrealFireNauticalRescueImplicitShortHistoryTask, 0.072 ± 0.006, 0.134 ± 0.015, 0.114 ± 0.015, 0.147 ± 0.014, nan ± nan, nan ± nan, 0.081 ± 0.011, 0.120 ± 0.019, 0.102 ± 0.024, 0.112 ± 0.021, 0.104 ± 0.020, 0.130 ± 0.019, 0.137 ± 0.020, 0.130 ± 0.013, 0.000 ± 0.000, 0.223 ± 0.074
MontrealFireTrashAndBicycleCausalConfoundingTask, 0.194 ± 0.065, 0.164 ± 0.031, 0.134 ± 0.054, 0.352 ± 0.151, nan ± nan, nan ± nan, 6.432 ± 2.742, 0.123 ± 0.035, 0.123 ± 0.044, 0.091 ± 0.023, 0.146 ± 0.052, 0.118 ± 0.028, 0.125 ± 0.031, 0.250 ± 0.097, 0.000 ± 0.000, 0.313 ± 0.075
MontrealFireTrashAndNauticalCausalConfoundingTask, 0.182 ± 0.052, 0.185 ± 0.064, 0.139 ± 0.052, 0.309 ± 0.112, nan ± nan, nan ± nan, 8.319 ± 4.758, 0.130 ± 0.036, 0.134 ± 0.047, 0.115 ± 0.028, 0.173 ± 0.046, 0.107 ± 0.029, 0.125 ± 0.031, 0.249 ± 0.096, 0.000 ± 0.000, 0.367 ± 0.112
MontrealFireTrashFireExplicitShortHistoryTask, 0.121 ± 0.036, 0.187 ± 0.060, 0.137 ± 0.051, 0.308 ± 0.121, nan ± nan, nan ± nan, 0.111 ± 0.032, 0.115 ± 0.027, 0.111 ± 0.035, 0.122 ± 0.028, 0.150 ± 0.054, 0.115 ± 0.032, 0.125 ± 0.031, 0.247 ± 0.097, 0.000 ± 0.000, 0.374 ± 0.115
MontrealFireTrashFireImplicitShortHistoryTask, 0.109 ± 0.027, 0.155 ± 0.038, 0.123 ± 0.015, 0.323 ± 0.132, nan ± nan, nan ± nan, 0.093 ± 0.023, 0.116 ± 0.031, 0.098 ± 0.026, 0.116 ± 0.033, 0.095 ± 0.032, 0.119 ± 0.032, 0.125 ± 0.031, 0.248 ± 0.096, 0.000 ± 0.000, 0.354 ± 0.112
OraclePredUnivariateConstraintsTask, 0.028 ± 0.021, 0.058 ± 0.033, 0.020 ± 0.013, 0.033 ± 0.019, 0.046 ± 0.027, 0.062 ± 0.033, 0.062 ± 0.035, 0.064 ± 0.035, 0.061 ± 0.034, 0.061 ± 0.032, 0.062 ± 0.035, 0.063 ± 0.035, 0.069 ± 0.037, 0.494 ± 0.201, 0.000 ± 0.000, 0.064 ± 0.032
PredictableSpikesInPredTask, 0.004 ± 0.002, 0.072 ± 0.047, 0.064 ± 0.048, 0.072 ± 0.047, 0.017 ± 0.012, 0.072 ± 0.047, 0.017 ± 0.009, 0.072 ± 0.047, 0.069 ± 0.045, 0.072 ± 0.047, 0.060 ± 0.042, 0.072 ± 0.046, 0.071 ± 0.045, 0.106 ± 0.063, 0.000 ± 0.000, 0.072 ± 0.047
SensorMaintenanceInPredictionTask, 0.005 ± 0.002, 0.043 ± 0.015, 0.020 ± 0.013, 0.051 ± 0.022, 0.004 ± 0.001, 0.044 ± 0.015, 0.020 ± 0.017, 0.045 ± 0.016, 0.034 ± 0.014, 0.045 ± 0.016, 0.028 ± 0.009, 0.044 ± 0.015, 0.050 ± 0.021, 0.051 ± 0.023, 0.000 ± 0.000, 0.046 ± 0.017
SensorPeriodicMaintenanceTask, 0.025 ± 0.015, 0.061 ± 0.021, 0.057 ± 0.020, 0.062 ± 0.024, 0.011 ± 0.006, 0.062 ± 0.022, 0.062 ± 0.021, 0.061 ± 0.021, 0.061 ± 0.021, 0.061 ± 0.021, 0.061 ± 0.021, 0.061 ± 0.021, 0.035 ± 0.011, 0.132 ± 0.053, 0.000 ± 0.000, 0.055 ± 0.018
SensorSpikeTask, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
SensorTrendAccumulationTask, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan, nan ± nan
ShortNewsElectricityIncreaseInPredictionTask, 0.004 ± 0.002, 0.086 ± 0.047, 0.053 ± 0.038, 0.087 ± 0.048, 0.008 ± 0.005, 0.086 ± 0.047, 0.013 ± 0.004, 0.086 ± 0.047, 0.085 ± 0.047, 0.086 ± 0.048, 0.085 ± 0.048, 0.086 ± 0.048, 0.087 ± 0.046, 0.129 ± 0.066, 0.000 ± 0.000, 0.085 ± 0.047
SimilarLocationDaySolarForecastTask, 0.602 ± 0.140, 1.164 ± 0.214, 1.004 ± 0.059, 1.175 ± 0.167, nan ± nan, nan ± nan, 0.599 ± 0.179, 0.943 ± 0.258, 0.634 ± 0.166, 0.917 ± 0.210, 1.425 ± 0.438, 1.362 ± 0.357, 2.008 ± 0.483, 0.398 ± 0.015, 0.000 ± 0.000, 1.141 ± 0.107
SimilarLocationWithReferenceDaySolarForecastTask, 0.200 ± 0.067, 1.237 ± 0.200, 0.745 ± 0.062, 1.095 ± 0.134, nan ± nan, nan ± nan, 0.343 ± 0.079, 1.004 ± 0.216, 0.411 ± 0.073, 0.934 ± 0.188, 1.260 ± 0.422, 1.344 ± 0.326, 2.008 ± 0.483, 0.378 ± 0.036, 0.000 ± 0.000, 1.098 ± 0.126
SpeedFromLoadTask, 0.171 ± 0.039, 0.521 ± 0.185, 0.327 ± nan, 0.326 ± nan, nan ± nan, 0.513 ± 0.238, 0.189 ± 0.043, 0.455 ± 0.133, 0.532 ± 0.205, 0.508 ± 0.170, 0.464 ± 0.141, 0.523 ± 0.185, 0.666 ± nan, 0.584 ± 0.085, 0.584 ± 0.085, 1.905 ± 0.853
UnemploymentCountyUsingExplicitMultipleStateData, 0.127 ± 0.050, 0.385 ± 0.162, 0.212 ± 0.044, 0.540 ± 0.290, nan ± nan, nan ± nan, 4.543 ± 2.678, 0.431 ± 0.215, 0.174 ± 0.049, 0.326 ± 0.120, 0.151 ± 0.015, 0.408 ± 0.187, 0.359 ± 0.049, 1.586 ± 0.308, 0.000 ± 0.000, 1.133 ± 0.408
UnemploymentCountyUsingMultipleStateData, 0.164 ± 0.064, 0.405 ± 0.160, 0.335 ± 0.091, 0.580 ± 0.334, nan ± nan, nan ± nan, 0.274 ± 0.088, 0.391 ± 0.192, 0.124 ± 0.016, 0.284 ± 0.083, 0.189 ± 0.027, 0.352 ± 0.148, 0.359 ± 0.049, 1.567 ± 0.301, 0.000 ± 0.000, 1.071 ± 0.437
UnemploymentCountyUsingSingleStateData, 0.086 ± 0.031, 0.397 ± 0.172, 0.129 ± 0.020, 0.565 ± 0.304, nan ± nan, nan ± nan, 0.133 ± 0.045, 0.454 ± 0.261, 0.142 ± 0.021, 0.371 ± 0.143, 0.121 ± 0.030, 0.410 ± 0.193, 0.359 ± 0.049, 1.562 ± 0.306, 0.000 ± 0.000, 1.175 ± 0.403
ZenithInfoHalfDaySolarForecastTask, 0.048 ± 0.016, 0.299 ± 0.150, 0.154 ± 0.090, 0.341 ± 0.136, nan ± nan, 0.297 ± 0.137, 0.135 ± 0.065, 0.244 ± 0.112, 0.176 ± 0.095, 0.281 ± 0.139, 0.272 ± 0.130, 0.308 ± 0.152, 0.450 ± 0.295, 0.126 ± 0.033, 0.000 ± 0.000, 0.483 ± 0.075
